date,min,max,mean,year,site
12-Mar,3.3,3.1,3.2,1955,northarm
13-Mar,3.1,3.1,3.1,1955,northarm
14-Mar,3.1,3.1,3.1,1955,northarm
15-Mar,3.6,3.1,3.3,1955,northarm
16-Mar,3.6,3.1,3.3,1955,northarm
17-Mar,3.6,3.1,3.3,1955,northarm
18-Mar,4.4,3.6,4.0,1955,northarm
19-Mar,4.2,4.2,4.2,1955,northarm
20-Mar,4.2,3.6,3.9,1955,northarm
21-Mar,3.3,3.3,3.3,1955,northarm
22-Mar,3.9,3.3,3.6,1955,northarm
23-Mar,3.9,3.3,3.6,1955,northarm
24-Mar,3.3,3.3,3.3,1955,northarm
25-Mar,3.9,3.3,3.6,1955,northarm
26-Mar,3.9,3.3,3.6,1955,northarm
27-Mar,3.6,2.8,3.2,1955,northarm
28-Mar,3.9,3.3,3.6,1955,northarm
29-Mar,3.9,3.3,3.6,1955,northarm
30-Mar,3.9,3.9,3.9,1955,northarm
31-Mar,4.2,3.9,4.0,1955,northarm
1-Apr,4.4,3.9,4.2,1955,northarm
2-Apr,5.0,4.4,4.7,1955,northarm
3-Apr,5.6,5.0,5.3,1955,northarm
4-Apr,5.6,5.0,5.3,1955,northarm
5-Apr,6.1,5.6,5.8,1955,northarm
6-Apr,6.1,6.1,6.1,1955,northarm
7-Apr,6.1,6.1,6.1,1955,northarm
8-Apr,6.7,6.1,6.4,1955,northarm
9-Apr,6.7,6.7,6.7,1955,northarm
10-Apr,6.7,6.1,6.4,1955,northarm
11-Apr,6.7,6.1,6.4,1955,northarm
12-Apr,6.7,6.1,6.4,1955,northarm
13-Apr,6.4,6.1,6.3,1955,northarm
14-Apr,5.8,5.0,5.4,1955,northarm
15-Apr,5.3,5.3,5.3,1955,northarm
16-Apr,5.3,5.3,5.3,1955,northarm
17-Apr,5.3,5.0,5.1,1955,northarm
18-Apr,6.1,5.0,5.6,1955,northarm
19-Apr,6.4,6.1,6.3,1955,northarm
20-Apr,6.4,6.1,6.3,1955,northarm
21-Apr,6.7,6.4,6.5,1955,northarm
22-Apr,6.7,6.7,6.7,1955,northarm
23-Apr,6.9,6.7,6.8,1955,northarm
24-Apr,6.7,6.1,6.4,1955,northarm
25-Apr,6.4,5.8,6.1,1955,northarm
26-Apr,6.7,6.4,6.5,1955,northarm
27-Apr,6.7,6.7,6.7,1955,northarm
28-Apr,6.7,6.4,6.5,1955,northarm
29-Apr,6.7,6.4,6.5,1955,northarm
30-Apr,6.9,6.7,6.8,1955,northarm
